"Povpreène meseène bruto plaèe (EUR) po statistiènih regijah prebivališèa, starostnih skupinah in spolu, Slovenija, letno"

"STATISTIÈNA REGIJA";"STAROST";"SPOL";"MERITVE";"LETO";Povpreène meseène bruto plaèe (EUR)
"Pomurska";"15-64 let";"Moški";"Povpreèje";"2008";1250
"Pomurska";"15-64 let";"Moški";"Povpreèje";"2009";1319
"Pomurska";"15-64 let";"Moški";"Povpreèje";"2010";1354
"Pomurska";"15-64 let";"Moški";"Povpreèje";"2011";1408
"Pomurska";"15-64 let";"Moški";"Povpreèje";"2012";1427
"Pomurska";"15-64 let";"Moški";"Povpreèje";"2013";1420
"Pomurska";"15-64 let";"Moški";"Povpreèje";"2014";1477
"Pomurska";"15-64 let";"Moški";"Povpreèje";"2015";z
"Pomurska";"15-64 let";"Moški";"Povpreèje";"2016";z
"Pomurska";"15-64 let";"Moški";"Povpreèje";"2017";z
"Pomurska";"15-64 let";"Moški";"Povpreèje";"2018";z
"Pomurska";"15-64 let";"Moški";"Povpreèje";"2019";1726
"Pomurska";"15-64 let";"Ženske";"Povpreèje";"2008";1136
"Pomurska";"15-64 let";"Ženske";"Povpreèje";"2009";1327
"Pomurska";"15-64 let";"Ženske";"Povpreèje";"2010";1328
"Pomurska";"15-64 let";"Ženske";"Povpreèje";"2011";1380
"Pomurska";"15-64 let";"Ženske";"Povpreèje";"2012";1371
"Pomurska";"15-64 let";"Ženske";"Povpreèje";"2013";1354
"Pomurska";"15-64 let";"Ženske";"Povpreèje";"2014";1421
"Pomurska";"15-64 let";"Ženske";"Povpreèje";"2015";z
"Pomurska";"15-64 let";"Ženske";"Povpreèje";"2016";z
"Pomurska";"15-64 let";"Ženske";"Povpreèje";"2017";z
"Pomurska";"15-64 let";"Ženske";"Povpreèje";"2018";z
"Pomurska";"15-64 let";"Ženske";"Povpreèje";"2019";1583
"Pomurska";"15-24 let";"Moški";"Povpreèje";"2008";899
"Pomurska";"15-24 let";"Moški";"Povpreèje";"2009";920
"Pomurska";"15-24 let";"Moški";"Povpreèje";"2010";938
"Pomurska";"15-24 let";"Moški";"Povpreèje";"2011";996
"Pomurska";"15-24 let";"Moški";"Povpreèje";"2012";996
"Pomurska";"15-24 let";"Moški";"Povpreèje";"2013";1005
"Pomurska";"15-24 let";"Moški";"Povpreèje";"2014";1010
"Pomurska";"15-24 let";"Moški";"Povpreèje";"2015";z
"Pomurska";"15-24 let";"Moški";"Povpreèje";"2016";z
"Pomurska";"15-24 let";"Moški";"Povpreèje";"2017";z
"Pomurska";"15-24 let";"Moški";"Povpreèje";"2018";z
"Pomurska";"15-24 let";"Moški";"Povpreèje";"2019";1220
"Pomurska";"15-24 let";"Ženske";"Povpreèje";"2008";838
"Pomurska";"15-24 let";"Ženske";"Povpreèje";"2009";854
"Pomurska";"15-24 let";"Ženske";"Povpreèje";"2010";902
"Pomurska";"15-24 let";"Ženske";"Povpreèje";"2011";946
"Pomurska";"15-24 let";"Ženske";"Povpreèje";"2012";938
"Pomurska";"15-24 let";"Ženske";"Povpreèje";"2013";926
"Pomurska";"15-24 let";"Ženske";"Povpreèje";"2014";948
"Pomurska";"15-24 let";"Ženske";"Povpreèje";"2015";z
"Pomurska";"15-24 let";"Ženske";"Povpreèje";"2016";z
"Pomurska";"15-24 let";"Ženske";"Povpreèje";"2017";z
"Pomurska";"15-24 let";"Ženske";"Povpreèje";"2018";z
"Pomurska";"15-24 let";"Ženske";"Povpreèje";"2019";1098
"Pomurska";"25-34 let";"Moški";"Povpreèje";"2008";1161
"Pomurska";"25-34 let";"Moški";"Povpreèje";"2009";1180
"Pomurska";"25-34 let";"Moški";"Povpreèje";"2010";1211
"Pomurska";"25-34 let";"Moški";"Povpreèje";"2011";1250
"Pomurska";"25-34 let";"Moški";"Povpreèje";"2012";1264
"Pomurska";"25-34 let";"Moški";"Povpreèje";"2013";1248
"Pomurska";"25-34 let";"Moški";"Povpreèje";"2014";1278
"Pomurska";"25-34 let";"Moški";"Povpreèje";"2015";1293
"Pomurska";"25-34 let";"Moški";"Povpreèje";"2016";1326
"Pomurska";"25-34 let";"Moški";"Povpreèje";"2017";1359
"Pomurska";"25-34 let";"Moški";"Povpreèje";"2018";1427
"Pomurska";"25-34 let";"Moški";"Povpreèje";"2019";1532
"Pomurska";"25-34 let";"Ženske";"Povpreèje";"2008";1067
"Pomurska";"25-34 let";"Ženske";"Povpreèje";"2009";1146
"Pomurska";"25-34 let";"Ženske";"Povpreèje";"2010";1180
"Pomurska";"25-34 let";"Ženske";"Povpreèje";"2011";1220
"Pomurska";"25-34 let";"Ženske";"Povpreèje";"2012";1226
"Pomurska";"25-34 let";"Ženske";"Povpreèje";"2013";1206
"Pomurska";"25-34 let";"Ženske";"Povpreèje";"2014";1207
"Pomurska";"25-34 let";"Ženske";"Povpreèje";"2015";1215
"Pomurska";"25-34 let";"Ženske";"Povpreèje";"2016";1225
"Pomurska";"25-34 let";"Ženske";"Povpreèje";"2017";1245
"Pomurska";"25-34 let";"Ženske";"Povpreèje";"2018";1285
"Pomurska";"25-34 let";"Ženske";"Povpreèje";"2019";1367
"Pomurska";"35-44 let";"Moški";"Povpreèje";"2008";1275
"Pomurska";"35-44 let";"Moški";"Povpreèje";"2009";1355
"Pomurska";"35-44 let";"Moški";"Povpreèje";"2010";1380
"Pomurska";"35-44 let";"Moški";"Povpreèje";"2011";1436
"Pomurska";"35-44 let";"Moški";"Povpreèje";"2012";1454
"Pomurska";"35-44 let";"Moški";"Povpreèje";"2013";1451
"Pomurska";"35-44 let";"Moški";"Povpreèje";"2014";1514
"Pomurska";"35-44 let";"Moški";"Povpreèje";"2015";1520
"Pomurska";"35-44 let";"Moški";"Povpreèje";"2016";1570
"Pomurska";"35-44 let";"Moški";"Povpreèje";"2017";1620
"Pomurska";"35-44 let";"Moški";"Povpreèje";"2018";1698
"Pomurska";"35-44 let";"Moški";"Povpreèje";"2019";1777
"Pomurska";"35-44 let";"Ženske";"Povpreèje";"2008";1105
"Pomurska";"35-44 let";"Ženske";"Povpreèje";"2009";1322
"Pomurska";"35-44 let";"Ženske";"Povpreèje";"2010";1291
"Pomurska";"35-44 let";"Ženske";"Povpreèje";"2011";1352
"Pomurska";"35-44 let";"Ženske";"Povpreèje";"2012";1352
"Pomurska";"35-44 let";"Ženske";"Povpreèje";"2013";1331
"Pomurska";"35-44 let";"Ženske";"Povpreèje";"2014";1390
"Pomurska";"35-44 let";"Ženske";"Povpreèje";"2015";1400
"Pomurska";"35-44 let";"Ženske";"Povpreèje";"2016";1400
"Pomurska";"35-44 let";"Ženske";"Povpreèje";"2017";1441
"Pomurska";"35-44 let";"Ženske";"Povpreèje";"2018";1486
"Pomurska";"35-44 let";"Ženske";"Povpreèje";"2019";1556
"Pomurska";"45-54 let";"Moški";"Povpreèje";"2008";1327
"Pomurska";"45-54 let";"Moški";"Povpreèje";"2009";1416
"Pomurska";"45-54 let";"Moški";"Povpreèje";"2010";1437
"Pomurska";"45-54 let";"Moški";"Povpreèje";"2011";1489
"Pomurska";"45-54 let";"Moški";"Povpreèje";"2012";1510
"Pomurska";"45-54 let";"Moški";"Povpreèje";"2013";1486
"Pomurska";"45-54 let";"Moški";"Povpreèje";"2014";1555
"Pomurska";"45-54 let";"Moški";"Povpreèje";"2015";1561
"Pomurska";"45-54 let";"Moški";"Povpreèje";"2016";1609
"Pomurska";"45-54 let";"Moški";"Povpreèje";"2017";1632
"Pomurska";"45-54 let";"Moški";"Povpreèje";"2018";1695
"Pomurska";"45-54 let";"Moški";"Povpreèje";"2019";1819
"Pomurska";"45-54 let";"Ženske";"Povpreèje";"2008";1192
"Pomurska";"45-54 let";"Ženske";"Povpreèje";"2009";1447
"Pomurska";"45-54 let";"Ženske";"Povpreèje";"2010";1425
"Pomurska";"45-54 let";"Ženske";"Povpreèje";"2011";1463
"Pomurska";"45-54 let";"Ženske";"Povpreèje";"2012";1426
"Pomurska";"45-54 let";"Ženske";"Povpreèje";"2013";1400
"Pomurska";"45-54 let";"Ženske";"Povpreèje";"2014";1498
"Pomurska";"45-54 let";"Ženske";"Povpreèje";"2015";1478
"Pomurska";"45-54 let";"Ženske";"Povpreèje";"2016";1436
"Pomurska";"45-54 let";"Ženske";"Povpreèje";"2017";1464
"Pomurska";"45-54 let";"Ženske";"Povpreèje";"2018";1498
"Pomurska";"45-54 let";"Ženske";"Povpreèje";"2019";1616
"Pomurska";"55-64 let";"Moški";"Povpreèje";"2008";1394
"Pomurska";"55-64 let";"Moški";"Povpreèje";"2009";1537
"Pomurska";"55-64 let";"Moški";"Povpreèje";"2010";1614
"Pomurska";"55-64 let";"Moški";"Povpreèje";"2011";1640
"Pomurska";"55-64 let";"Moški";"Povpreèje";"2012";1653
"Pomurska";"55-64 let";"Moški";"Povpreèje";"2013";1626
"Pomurska";"55-64 let";"Moški";"Povpreèje";"2014";1674
"Pomurska";"55-64 let";"Moški";"Povpreèje";"2015";1655
"Pomurska";"55-64 let";"Moški";"Povpreèje";"2016";1709
"Pomurska";"55-64 let";"Moški";"Povpreèje";"2017";1746
"Pomurska";"55-64 let";"Moški";"Povpreèje";"2018";1775
