"Povpreène meseène bruto plaèe (EUR) po skupinah poklicev (SKP-08) in spolu, Slovenija, letno"

"POKLIC";"SPOL";"MERITVE";"LETO";Povpreène meseène bruto plaèe (EUR, SKP-08)
"Poklic - SKUPAJ";"Moški";"Povpreèje";"2011";1617
"Poklic - SKUPAJ";"Moški";"Povpreèje";"2012";1639
"Poklic - SKUPAJ";"Moški";"Povpreèje";"2013";1639
"Poklic - SKUPAJ";"Moški";"Povpreèje";"2014";1678
"Poklic - SKUPAJ";"Moški";"Povpreèje";"2015";1698
"Poklic - SKUPAJ";"Moški";"Povpreèje";"2016";1733
"Poklic - SKUPAJ";"Moški";"Povpreèje";"2017";1770
"Poklic - SKUPAJ";"Moški";"Povpreèje";"2018";1837
"Poklic - SKUPAJ";"Moški";"Povpreèje";"2019";1900
"Poklic - SKUPAJ";"Ženske";"Povpreèje";"2011";1542
"Poklic - SKUPAJ";"Ženske";"Povpreèje";"2012";1555
"Poklic - SKUPAJ";"Ženske";"Povpreèje";"2013";1551
"Poklic - SKUPAJ";"Ženske";"Povpreèje";"2014";1589
"Poklic - SKUPAJ";"Ženske";"Povpreèje";"2015";1598
"Poklic - SKUPAJ";"Ženske";"Povpreèje";"2016";1631
"Poklic - SKUPAJ";"Ženske";"Povpreèje";"2017";1664
"Poklic - SKUPAJ";"Ženske";"Povpreèje";"2018";1708
"Poklic - SKUPAJ";"Ženske";"Povpreèje";"2019";1790
"1 ZAKONODAJALCI, VISOKI URADNIKI, MENEDŽERJI";"Moški";"Povpreèje";"2011";2879
"1 ZAKONODAJALCI, VISOKI URADNIKI, MENEDŽERJI";"Moški";"Povpreèje";"2012";3091
"1 ZAKONODAJALCI, VISOKI URADNIKI, MENEDŽERJI";"Moški";"Povpreèje";"2013";2948
"1 ZAKONODAJALCI, VISOKI URADNIKI, MENEDŽERJI";"Moški";"Povpreèje";"2014";2849
"1 ZAKONODAJALCI, VISOKI URADNIKI, MENEDŽERJI";"Moški";"Povpreèje";"2015";2852
"1 ZAKONODAJALCI, VISOKI URADNIKI, MENEDŽERJI";"Moški";"Povpreèje";"2016";2839
"1 ZAKONODAJALCI, VISOKI URADNIKI, MENEDŽERJI";"Moški";"Povpreèje";"2017";2842
"1 ZAKONODAJALCI, VISOKI URADNIKI, MENEDŽERJI";"Moški";"Povpreèje";"2018";2910
"1 ZAKONODAJALCI, VISOKI URADNIKI, MENEDŽERJI";"Moški";"Povpreèje";"2019";2999
"1 ZAKONODAJALCI, VISOKI URADNIKI, MENEDŽERJI";"Ženske";"Povpreèje";"2011";2737
"1 ZAKONODAJALCI, VISOKI URADNIKI, MENEDŽERJI";"Ženske";"Povpreèje";"2012";2834
"1 ZAKONODAJALCI, VISOKI URADNIKI, MENEDŽERJI";"Ženske";"Povpreèje";"2013";2766
"1 ZAKONODAJALCI, VISOKI URADNIKI, MENEDŽERJI";"Ženske";"Povpreèje";"2014";2746
"1 ZAKONODAJALCI, VISOKI URADNIKI, MENEDŽERJI";"Ženske";"Povpreèje";"2015";2755
"1 ZAKONODAJALCI, VISOKI URADNIKI, MENEDŽERJI";"Ženske";"Povpreèje";"2016";2746
"1 ZAKONODAJALCI, VISOKI URADNIKI, MENEDŽERJI";"Ženske";"Povpreèje";"2017";2757
"1 ZAKONODAJALCI, VISOKI URADNIKI, MENEDŽERJI";"Ženske";"Povpreèje";"2018";2811
"1 ZAKONODAJALCI, VISOKI URADNIKI, MENEDŽERJI";"Ženske";"Povpreèje";"2019";2884
"11 Zakonodajalci, visoki uradniki in èlani uprave družbe";"Moški";"Povpreèje";"2011";5529
"11 Zakonodajalci, visoki uradniki in èlani uprave družbe";"Moški";"Povpreèje";"2012";5543
"11 Zakonodajalci, visoki uradniki in èlani uprave družbe";"Moški";"Povpreèje";"2013";5344
"11 Zakonodajalci, visoki uradniki in èlani uprave družbe";"Moški";"Povpreèje";"2014";5339
"11 Zakonodajalci, visoki uradniki in èlani uprave družbe";"Moški";"Povpreèje";"2015";5537
"11 Zakonodajalci, visoki uradniki in èlani uprave družbe";"Moški";"Povpreèje";"2016";5529
"11 Zakonodajalci, visoki uradniki in èlani uprave družbe";"Moški";"Povpreèje";"2017";5849
"11 Zakonodajalci, visoki uradniki in èlani uprave družbe";"Moški";"Povpreèje";"2018";6023
"11 Zakonodajalci, visoki uradniki in èlani uprave družbe";"Moški";"Povpreèje";"2019";6259
"11 Zakonodajalci, visoki uradniki in èlani uprave družbe";"Ženske";"Povpreèje";"2011";3764
"11 Zakonodajalci, visoki uradniki in èlani uprave družbe";"Ženske";"Povpreèje";"2012";3761
"11 Zakonodajalci, visoki uradniki in èlani uprave družbe";"Ženske";"Povpreèje";"2013";3555
"11 Zakonodajalci, visoki uradniki in èlani uprave družbe";"Ženske";"Povpreèje";"2014";3551
"11 Zakonodajalci, visoki uradniki in èlani uprave družbe";"Ženske";"Povpreèje";"2015";3679
"11 Zakonodajalci, visoki uradniki in èlani uprave družbe";"Ženske";"Povpreèje";"2016";3740
"11 Zakonodajalci, visoki uradniki in èlani uprave družbe";"Ženske";"Povpreèje";"2017";3713
"11 Zakonodajalci, visoki uradniki in èlani uprave družbe";"Ženske";"Povpreèje";"2018";3854
"11 Zakonodajalci, visoki uradniki in èlani uprave družbe";"Ženske";"Povpreèje";"2019";3894
"111 Zakonodajalci/zakonodajalke in visoki uradniki/visoke uradnice";"Moški";"Povpreèje";"2011";-
"111 Zakonodajalci/zakonodajalke in visoki uradniki/visoke uradnice";"Moški";"Povpreèje";"2012";-
"111 Zakonodajalci/zakonodajalke in visoki uradniki/visoke uradnice";"Moški";"Povpreèje";"2013";-
"111 Zakonodajalci/zakonodajalke in visoki uradniki/visoke uradnice";"Moški";"Povpreèje";"2014";-
"111 Zakonodajalci/zakonodajalke in visoki uradniki/visoke uradnice";"Moški";"Povpreèje";"2015";-
"111 Zakonodajalci/zakonodajalke in visoki uradniki/visoke uradnice";"Moški";"Povpreèje";"2016";-
"111 Zakonodajalci/zakonodajalke in visoki uradniki/visoke uradnice";"Moški";"Povpreèje";"2017";-
"111 Zakonodajalci/zakonodajalke in visoki uradniki/visoke uradnice";"Moški";"Povpreèje";"2018";-
"111 Zakonodajalci/zakonodajalke in visoki uradniki/visoke uradnice";"Moški";"Povpreèje";"2019";3492
"111 Zakonodajalci/zakonodajalke in visoki uradniki/visoke uradnice";"Ženske";"Povpreèje";"2011";-
"111 Zakonodajalci/zakonodajalke in visoki uradniki/visoke uradnice";"Ženske";"Povpreèje";"2012";-
"111 Zakonodajalci/zakonodajalke in visoki uradniki/visoke uradnice";"Ženske";"Povpreèje";"2013";-
