"";"LETO";"DEJAVNOST";"REGIJA";"SKUPNO"
"1";"2014";"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";"Gorenjska";13360,64
"2";"2014";"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";"Goriška";14802,38
"3";"2014";"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";"Jugovzhodna Slovenija";14763,84
"4";"2014";"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";"Koroška";11938,63
"5";"2014";"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";"Osrednjeslovenska";13305,27
"6";"2014";"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";"Podravska";12845,2
"7";"2014";"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";"Pomurska";12452,79
"8";"2014";"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";"Posavska";11440,98
"9";"2014";"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";"Primorsko-notranjska";16129,32
"10";"2014";"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";"Savinjska";12146,89
"11";"2014";"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";"Zasavska";9649,89
"12";"2014";"B RUDARSTVO";"Gorenjska";NA
"13";"2014";"B RUDARSTVO";"Goriška";16347,78
"14";"2014";"B RUDARSTVO";"Jugovzhodna Slovenija";NA
"15";"2014";"B RUDARSTVO";"Koroška";14311,08
"16";"2014";"B RUDARSTVO";"Osrednjeslovenska";20541,84
"17";"2014";"B RUDARSTVO";"Podravska";10069,5
"18";"2014";"B RUDARSTVO";"Pomurska";13437,24
"19";"2014";"B RUDARSTVO";"Posavska";NA
"20";"2014";"B RUDARSTVO";"Primorsko-notranjska";NA
"21";"2014";"B RUDARSTVO";"Savinjska";24327,54
"22";"2014";"B RUDARSTVO";"Zasavska";16661,22
"23";"2014";"C PREDELOVALNE DEJAVNOSTI";"Gorenjska";15596,14
"24";"2014";"C PREDELOVALNE DEJAVNOSTI";"Goriška";13913,08
"25";"2014";"C PREDELOVALNE DEJAVNOSTI";"Jugovzhodna Slovenija";16712,92
"26";"2014";"C PREDELOVALNE DEJAVNOSTI";"Koroška";14293,58
"27";"2014";"C PREDELOVALNE DEJAVNOSTI";"Osrednjeslovenska";17113,46
"28";"2014";"C PREDELOVALNE DEJAVNOSTI";"Podravska";13016,43
"29";"2014";"C PREDELOVALNE DEJAVNOSTI";"Pomurska";13065,36
"30";"2014";"C PREDELOVALNE DEJAVNOSTI";"Posavska";13481,84
"31";"2014";"C PREDELOVALNE DEJAVNOSTI";"Primorsko-notranjska";12997,77
"32";"2014";"C PREDELOVALNE DEJAVNOSTI";"Savinjska";14088,87
"33";"2014";"C PREDELOVALNE DEJAVNOSTI";"Zasavska";13205,38
"34";"2014";"D OSKRBA Z ELEKTRICNO ENERGIJO, PLINOM IN PARO";"Gorenjska";21056,35
"35";"2014";"D OSKRBA Z ELEKTRICNO ENERGIJO, PLINOM IN PARO";"Goriška";22605,21
"36";"2014";"D OSKRBA Z ELEKTRICNO ENERGIJO, PLINOM IN PARO";"Jugovzhodna Slovenija";27254,48
"37";"2014";"D OSKRBA Z ELEKTRICNO ENERGIJO, PLINOM IN PARO";"Koroška";19219,31
"38";"2014";"D OSKRBA Z ELEKTRICNO ENERGIJO, PLINOM IN PARO";"Osrednjeslovenska";24923,02
"39";"2014";"D OSKRBA Z ELEKTRICNO ENERGIJO, PLINOM IN PARO";"Podravska";22158,85
"40";"2014";"D OSKRBA Z ELEKTRICNO ENERGIJO, PLINOM IN PARO";"Pomurska";16490,97
"41";"2014";"D OSKRBA Z ELEKTRICNO ENERGIJO, PLINOM IN PARO";"Posavska";30145,25
"42";"2014";"D OSKRBA Z ELEKTRICNO ENERGIJO, PLINOM IN PARO";"Primorsko-notranjska";NA
"43";"2014";"D OSKRBA Z ELEKTRICNO ENERGIJO, PLINOM IN PARO";"Savinjska";21221,46
"44";"2014";"D OSKRBA Z ELEKTRICNO ENERGIJO, PLINOM IN PARO";"Zasavska";20959,85
"45";"2014";"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";"Gorenjska";15080,96
"46";"2014";"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";"Goriška";15319,37
"47";"2014";"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";"Jugovzhodna Slovenija";15395,65
"48";"2014";"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";"Koroška";13070,1
"49";"2014";"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";"Osrednjeslovenska";15356,37
"50";"2014";"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";"Podravska";14771,44
"51";"2014";"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";"Pomurska";13262,28
"52";"2014";"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";"Posavska";12951,42
"53";"2014";"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";"Primorsko-notranjska";16084,24
"54";"2014";"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";"Savinjska";14649,88
"55";"2014";"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";"Zasavska";13447,83
"56";"2014";"F GRADBENIŠTVO";"Gorenjska";12346,66
"57";"2014";"F GRADBENIŠTVO";"Goriška";12564,89
"58";"2014";"F GRADBENIŠTVO";"Jugovzhodna Slovenija";12820,99
"59";"2014";"F GRADBENIŠTVO";"Koroška";12400,54
"60";"2014";"F GRADBENIŠTVO";"Osrednjeslovenska";12474,89
"61";"2014";"F GRADBENIŠTVO";"Podravska";10998,32
"62";"2014";"F GRADBENIŠTVO";"Pomurska";12643,5
"63";"2014";"F GRADBENIŠTVO";"Posavska";10361,63
"64";"2014";"F GRADBENIŠTVO";"Primorsko-notranjska";11635,09
"65";"2014";"F GRADBENIŠTVO";"Savinjska";11334,24
"66";"2014";"F GRADBENIŠTVO";"Zasavska";11548,32
"67";"2014";"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";"Gorenjska";13052,23
"68";"2014";"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";"Goriška";12690,12
"69";"2014";"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";"Jugovzhodna Slovenija";11764,62
"70";"2014";"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";"Koroška";11876,79
"71";"2014";"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";"Osrednjeslovenska";16526,25
"72";"2014";"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";"Podravska";12097,08
"73";"2014";"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";"Pomurska";11766,63
"74";"2014";"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";"Posavska";11719,74
"75";"2014";"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";"Primorsko-notranjska";11688,35
"76";"2014";"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";"Savinjska";11991,27
"77";"2014";"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";"Zasavska";12295,64
"78";"2014";"H PROMET IN SKLADIŠCENJE";"Gorenjska";18412,03
"79";"2014";"H PROMET IN SKLADIŠCENJE";"Goriška";13607,79
"80";"2014";"H PROMET IN SKLADIŠCENJE";"Jugovzhodna Slovenija";12723,19
"81";"2014";"H PROMET IN SKLADIŠCENJE";"Koroška";12014,22
"82";"2014";"H PROMET IN SKLADIŠCENJE";"Osrednjeslovenska";14019,81
"83";"2014";"H PROMET IN SKLADIŠCENJE";"Podravska";13791,89
"84";"2014";"H PROMET IN SKLADIŠCENJE";"Pomurska";11732,69
"85";"2014";"H PROMET IN SKLADIŠCENJE";"Posavska";13679,79
"86";"2014";"H PROMET IN SKLADIŠCENJE";"Primorsko-notranjska";14265,11
"87";"2014";"H PROMET IN SKLADIŠCENJE";"Savinjska";13527,81
"88";"2014";"H PROMET IN SKLADIŠCENJE";"Zasavska";13605,39
"89";"2014";"I GOSTINSTVO";"Gorenjska";11030,89
"90";"2014";"I GOSTINSTVO";"Goriška";11106,21
"91";"2014";"I GOSTINSTVO";"Jugovzhodna Slovenija";11709,11
"92";"2014";"I GOSTINSTVO";"Koroška";9114,37
"93";"2014";"I GOSTINSTVO";"Osrednjeslovenska";10673,69
"94";"2014";"I GOSTINSTVO";"Podravska";9577,76
"95";"2014";"I GOSTINSTVO";"Pomurska";10318,83
"96";"2014";"I GOSTINSTVO";"Posavska";10191,71
"97";"2014";"I GOSTINSTVO";"Primorsko-notranjska";10341,33
"98";"2014";"I GOSTINSTVO";"Savinjska";10936,98
"99";"2014";"I GOSTINSTVO";"Zasavska";8048,23
"100";"2014";"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI";"Gorenjska";18765,1
"101";"2014";"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI";"Goriška";18248,04
"102";"2014";"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI";"Jugovzhodna Slovenija";15847,69
"103";"2014";"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI";"Koroška";14729,53
"104";"2014";"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI";"Osrednjeslovenska";22130,75
"105";"2014";"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI";"Podravska";17702,34
"106";"2014";"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI";"Pomurska";17056,99
"107";"2014";"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI";"Posavska";15788,12
"108";"2014";"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI";"Primorsko-notranjska";16092,4
"109";"2014";"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI";"Savinjska";17273,53
"110";"2014";"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI";"Zasavska";15801,64
"111";"2014";"K FINANCNE IN ZAVAROVALNIŠKE DEJAVNOSTI";"Gorenjska";19707,66
"112";"2014";"K FINANCNE IN ZAVAROVALNIŠKE DEJAVNOSTI";"Goriška";18418,19
