"";"STATISTICNA_REGIJA";"STAROST";"LETO";"Moški";"Ženske"
"1";"Pomurska";"15-64 let";2008;1250;1136
"2";"Pomurska";"15-64 let";2009;1319;1327
"3";"Pomurska";"15-64 let";2010;1354;1328
"4";"Pomurska";"15-64 let";2011;1408;1380
"5";"Pomurska";"15-64 let";2012;1427;1371
"6";"Pomurska";"15-64 let";2013;1420;1354
"7";"Pomurska";"15-64 let";2014;1477;1421
"8";"Pomurska";"15-64 let";2015;NA;NA
"9";"Pomurska";"15-64 let";2016;NA;NA
"10";"Pomurska";"15-64 let";2017;NA;NA
"11";"Pomurska";"15-64 let";2018;NA;NA
"12";"Pomurska";"15-64 let";2019;1726;1583
"13";"Pomurska";"15-24 let";2008;899;838
"14";"Pomurska";"15-24 let";2009;920;854
"15";"Pomurska";"15-24 let";2010;938;902
"16";"Pomurska";"15-24 let";2011;996;946
"17";"Pomurska";"15-24 let";2012;996;938
"18";"Pomurska";"15-24 let";2013;1005;926
"19";"Pomurska";"15-24 let";2014;1010;948
"20";"Pomurska";"15-24 let";2015;NA;NA
"21";"Pomurska";"15-24 let";2016;NA;NA
"22";"Pomurska";"15-24 let";2017;NA;NA
"23";"Pomurska";"15-24 let";2018;NA;NA
"24";"Pomurska";"15-24 let";2019;1220;1098
"25";"Pomurska";"25-34 let";2008;1161;1067
"26";"Pomurska";"25-34 let";2009;1180;1146
"27";"Pomurska";"25-34 let";2010;1211;1180
"28";"Pomurska";"25-34 let";2011;1250;1220
"29";"Pomurska";"25-34 let";2012;1264;1226
"30";"Pomurska";"25-34 let";2013;1248;1206
"31";"Pomurska";"25-34 let";2014;1278;1207
"32";"Pomurska";"25-34 let";2015;1293;1215
"33";"Pomurska";"25-34 let";2016;1326;1225
"34";"Pomurska";"25-34 let";2017;1359;1245
"35";"Pomurska";"25-34 let";2018;1427;1285
"36";"Pomurska";"25-34 let";2019;1532;1367
"37";"Pomurska";"35-44 let";2008;1275;1105
"38";"Pomurska";"35-44 let";2009;1355;1322
"39";"Pomurska";"35-44 let";2010;1380;1291
"40";"Pomurska";"35-44 let";2011;1436;1352
"41";"Pomurska";"35-44 let";2012;1454;1352
"42";"Pomurska";"35-44 let";2013;1451;1331
"43";"Pomurska";"35-44 let";2014;1514;1390
"44";"Pomurska";"35-44 let";2015;1520;1400
"45";"Pomurska";"35-44 let";2016;1570;1400
"46";"Pomurska";"35-44 let";2017;1620;1441
"47";"Pomurska";"35-44 let";2018;1698;1486
"48";"Pomurska";"35-44 let";2019;1777;1556
"49";"Pomurska";"45-54 let";2008;1327;1192
"50";"Pomurska";"45-54 let";2009;1416;1447
"51";"Pomurska";"45-54 let";2010;1437;1425
"52";"Pomurska";"45-54 let";2011;1489;1463
"53";"Pomurska";"45-54 let";2012;1510;1426
"54";"Pomurska";"45-54 let";2013;1486;1400
"55";"Pomurska";"45-54 let";2014;1555;1498
"56";"Pomurska";"45-54 let";2015;1561;1478
"57";"Pomurska";"45-54 let";2016;1609;1436
"58";"Pomurska";"45-54 let";2017;1632;1464
"59";"Pomurska";"45-54 let";2018;1695;1498
"60";"Pomurska";"45-54 let";2019;1819;1616
"61";"Pomurska";"55-64 let";2008;1394;1576
"62";"Pomurska";"55-64 let";2009;1537;1832
"63";"Pomurska";"55-64 let";2010;1614;1922
"64";"Pomurska";"55-64 let";2011;1640;1858
"65";"Pomurska";"55-64 let";2012;1653;1779
"66";"Pomurska";"55-64 let";2013;1626;1687
"67";"Pomurska";"55-64 let";2014;1674;1735
"68";"Pomurska";"55-64 let";2015;1655;1702
"69";"Pomurska";"55-64 let";2016;1709;1714
"70";"Pomurska";"55-64 let";2017;1746;1714
"71";"Pomurska";"55-64 let";2018;1775;1734
"72";"Pomurska";"55-64 let";2019;1823;1836
"73";"Pomurska";"65 let >";2008;3924;NA
"74";"Pomurska";"65 let >";2009;3721;NA
"75";"Pomurska";"65 let >";2010;3302;NA
"76";"Pomurska";"65 let >";2011;3803;NA
"77";"Pomurska";"65 let >";2012;NA;NA
"78";"Pomurska";"65 let >";2013;NA;NA
"79";"Pomurska";"65 let >";2014;3820;NA
"80";"Pomurska";"65 let >";2015;NA;NA
"81";"Pomurska";"65 let >";2016;NA;NA
"82";"Pomurska";"65 let >";2017;NA;NA
"83";"Pomurska";"65 let >";2018;NA;NA
"84";"Pomurska";"65 let >";2019;3518;3545
"85";"Podravska";"15-64 let";2008;1382;1292
"86";"Podravska";"15-64 let";2009;1403;1374
"87";"Podravska";"15-64 let";2010;1464;1425
"88";"Podravska";"15-64 let";2011;1521;1455
"89";"Podravska";"15-64 let";2012;1546;1473
"90";"Podravska";"15-64 let";2013;1553;1468
"91";"Podravska";"15-64 let";2014;1588;1495
"92";"Podravska";"15-64 let";2015;1599;1499
"93";"Podravska";"15-64 let";2016;1630;1529
"94";"Podravska";"15-64 let";2017;1684;1569
"95";"Podravska";"15-64 let";2018;1756;1604
"96";"Podravska";"15-64 let";2019;1825;1688
"97";"Podravska";"15-24 let";2008;900;808
"98";"Podravska";"15-24 let";2009;893;860
"99";"Podravska";"15-24 let";2010;952;918
"100";"Podravska";"15-24 let";2011;995;956
"101";"Podravska";"15-24 let";2012;1009;959
"102";"Podravska";"15-24 let";2013;1024;955
"103";"Podravska";"15-24 let";2014;1055;950
"104";"Podravska";"15-24 let";2015;1072;965
"105";"Podravska";"15-24 let";2016;1113;966
"106";"Podravska";"15-24 let";2017;1143;1027
"107";"Podravska";"15-24 let";2018;1216;1058
"108";"Podravska";"15-24 let";2019;1285;1122
"109";"Podravska";"25-34 let";2008;1229;1136
"110";"Podravska";"25-34 let";2009;1239;1187
"111";"Podravska";"25-34 let";2010;1279;1234
"112";"Podravska";"25-34 let";2011;1312;1258
"113";"Podravska";"25-34 let";2012;1323;1272
"114";"Podravska";"25-34 let";2013;1318;1256
"115";"Podravska";"25-34 let";2014;1346;1263
"116";"Podravska";"25-34 let";2015;1348;1246
"117";"Podravska";"25-34 let";2016;1371;1276
"118";"Podravska";"25-34 let";2017;1419;1295
"119";"Podravska";"25-34 let";2018;1508;1346
"120";"Podravska";"25-34 let";2019;1578;1402
"121";"Podravska";"35-44 let";2008;1425;1280
"122";"Podravska";"35-44 let";2009;1445;1356
"123";"Podravska";"35-44 let";2010;1509;1407
"124";"Podravska";"35-44 let";2011;1568;1441
"125";"Podravska";"35-44 let";2012;1600;1461
"126";"Podravska";"35-44 let";2013;1601;1464
"127";"Podravska";"35-44 let";2014;1624;1483
"128";"Podravska";"35-44 let";2015;1634;1484
"129";"Podravska";"35-44 let";2016;1666;1517
"130";"Podravska";"35-44 let";2017;1718;1556
"131";"Podravska";"35-44 let";2018;1787;1588
"132";"Podravska";"35-44 let";2019;1861;1666
"133";"Podravska";"45-54 let";2008;1446;1367
"134";"Podravska";"45-54 let";2009;1474;1457
"135";"Podravska";"45-54 let";2010;1524;1505
"136";"Podravska";"45-54 let";2011;1593;1511
"137";"Podravska";"45-54 let";2012;1622;1528
"138";"Podravska";"45-54 let";2013;1631;1517
"139";"Podravska";"45-54 let";2014;1681;1545
"140";"Podravska";"45-54 let";2015;1695;1539
"141";"Podravska";"45-54 let";2016;1739;1564
"142";"Podravska";"45-54 let";2017;1795;1611
"143";"Podravska";"45-54 let";2018;1870;1653
"144";"Podravska";"45-54 let";2019;1950;1756
"145";"Podravska";"55-64 let";2008;1675;1743
"146";"Podravska";"55-64 let";2009;1696;1844
"147";"Podravska";"55-64 let";2010;1782;1891
"148";"Podravska";"55-64 let";2011;1830;1891
"149";"Podravska";"55-64 let";2012;1821;1879
"150";"Podravska";"55-64 let";2013;1800;1761
"151";"Podravska";"55-64 let";2014;1787;1754
"152";"Podravska";"55-64 let";2015;1799;1762
"153";"Podravska";"55-64 let";2016;1794;1747
"154";"Podravska";"55-64 let";2017;1846;1774
"155";"Podravska";"55-64 let";2018;1890;1788
"156";"Podravska";"55-64 let";2019;1959;1872
"157";"Podravska";"65 let >";2008;4086;3053
"158";"Podravska";"65 let >";2009;4416;3615
"159";"Podravska";"65 let >";2010;4331;3487
"160";"Podravska";"65 let >";2011;4162;3811
"161";"Podravska";"65 let >";2012;3976;4028
"162";"Podravska";"65 let >";2013;3596;3760
"163";"Podravska";"65 let >";2014;3666;3379
"164";"Podravska";"65 let >";2015;3733;3381
"165";"Podravska";"65 let >";2016;3670;3312
"166";"Podravska";"65 let >";2017;3496;3074
"167";"Podravska";"65 let >";2018;3198;3088
"168";"Podravska";"65 let >";2019;3129;3111
"169";"Koroška";"15-64 let";2008;1368;1252
"170";"Koroška";"15-64 let";2009;1367;1318
"171";"Koroška";"15-64 let";2010;1435;1419
"172";"Koroška";"15-64 let";2011;1498;1442
"173";"Koroška";"15-64 let";2012;1513;1455
"174";"Koroška";"15-64 let";2013;1526;1454
"175";"Koroška";"15-64 let";2014;1569;1480
"176";"Koroška";"15-64 let";2015;NA;NA
"177";"Koroška";"15-64 let";2016;NA;NA
"178";"Koroška";"15-64 let";2017;1713;1558
"179";"Koroška";"15-64 let";2018;1775;1591
"180";"Koroška";"15-64 let";2019;1822;1659
"181";"Koroška";"15-24 let";2008;954;811
"182";"Koroška";"15-24 let";2009;930;865
"183";"Koroška";"15-24 let";2010;1005;914
"184";"Koroška";"15-24 let";2011;1078;951
"185";"Koroška";"15-24 let";2012;1077;980
"186";"Koroška";"15-24 let";2013;1090;910
"187";"Koroška";"15-24 let";2014;1138;878
"188";"Koroška";"15-24 let";2015;NA;NA
"189";"Koroška";"15-24 let";2016;NA;NA
"190";"Koroška";"15-24 let";2017;1273;1028
"191";"Koroška";"15-24 let";2018;1293;1042
"192";"Koroška";"15-24 let";2019;1335;1095
"193";"Koroška";"25-34 let";2008;1220;1088
"194";"Koroška";"25-34 let";2009;1208;1105
"195";"Koroška";"25-34 let";2010;1253;1183
"196";"Koroška";"25-34 let";2011;1306;1194
"197";"Koroška";"25-34 let";2012;1316;1204
"198";"Koroška";"25-34 let";2013;1325;1191
"199";"Koroška";"25-34 let";2014;1359;1202
"200";"Koroška";"25-34 let";2015;1397;1232
"201";"Koroška";"25-34 let";2016;1432;1256
"202";"Koroška";"25-34 let";2017;1496;1267
"203";"Koroška";"25-34 let";2018;1565;1322
"204";"Koroška";"25-34 let";2019;1593;1392
"205";"Koroška";"35-44 let";2008;1395;1232
"206";"Koroška";"35-44 let";2009;1398;1290
"207";"Koroška";"35-44 let";2010;1465;1407
"208";"Koroška";"35-44 let";2011;1536;1437
"209";"Koroška";"35-44 let";2012;1540;1424
"210";"Koroška";"35-44 let";2013;1547;1435
"211";"Koroška";"35-44 let";2014;1584;1443
"212";"Koroška";"35-44 let";2015;1622;1455
"213";"Koroška";"35-44 let";2016;1659;1480
"214";"Koroška";"35-44 let";2017;1732;1512
"215";"Koroška";"35-44 let";2018;1809;1547
"216";"Koroška";"35-44 let";2019;1849;1608
"217";"Koroška";"45-54 let";2008;1466;1359
"218";"Koroška";"45-54 let";2009;1453;1433
"219";"Koroška";"45-54 let";2010;1535;1512
"220";"Koroška";"45-54 let";2011;1582;1523
"221";"Koroška";"45-54 let";2012;1614;1541
"222";"Koroška";"45-54 let";2013;1615;1522
"223";"Koroška";"45-54 let";2014;1666;1551
"224";"Koroška";"45-54 let";2015;1702;1553
"225";"Koroška";"45-54 let";2016;1754;1574
"226";"Koroška";"45-54 let";2017;1798;1621
"227";"Koroška";"45-54 let";2018;1870;1654
"228";"Koroška";"45-54 let";2019;1944;1720
"229";"Koroška";"55-64 let";2008;1687;1722
"230";"Koroška";"55-64 let";2009;1707;1829
"231";"Koroška";"55-64 let";2010;1757;1937
"232";"Koroška";"55-64 let";2011;1786;1918
"233";"Koroška";"55-64 let";2012;1813;1949
"234";"Koroška";"55-64 let";2013;1816;1859
"235";"Koroška";"55-64 let";2014;1814;1818
"236";"Koroška";"55-64 let";2015;1857;1823
"237";"Koroška";"55-64 let";2016;1897;1811
"238";"Koroška";"55-64 let";2017;1925;1830
"239";"Koroška";"55-64 let";2018;1956;1840
"240";"Koroška";"55-64 let";2019;2009;1914
"241";"Koroška";"65 let >";2008;3575;NA
"242";"Koroška";"65 let >";2009;4018;NA
"243";"Koroška";"65 let >";2010;NA;NA
"244";"Koroška";"65 let >";2011;3768;NA
"245";"Koroška";"65 let >";2012;3753;NA
"246";"Koroška";"65 let >";2013;3651;NA
"247";"Koroška";"65 let >";2014;4235;NA
